dewpoint_1000_hpa,dewpoint_850_hpa,k_index,showalter_index,dewpoint_500_hpa,lifted_index,convective_available_potential_energy,cross_totals_index,dewpoint_700_hpa,rain
22.9,17.2,36.0,-1.95,-8.2,-2.69,531.85,22.3,6.5,1
22.9,17.2,36.0,-1.95,-8.2,-2.69,531.85,22.3,6.5,0
22.8,15.3,32.4,0.67,12.1,-1.95,700.71,19.4,5.8,0
22.8,15.3,32.4,0.67,12.1,-1.95,700.71,19.4,5.8,0
23.3,14.5,31.2,1.94,16.5,-1.84,1120.55,18.0,5.4,0
23.3,14.5,31.2,1.94,16.5,-1.84,1120.55,18.0,5.4,1
23.9,16.0,30.1,0.88,23.3,-2.34,1385.84,19.3,2.0,0
23.9,16.0,30.1,0.88,23.3,-2.34,1385.84,19.3,2.0,0
21.6,14.7,22.4,2.75,15.5,-0.38,470.86,17.2,-2.0,0
21.6,14.7,22.4,2.75,15.5,-0.38,470.86,17.2,-2.0,1
24.4,14.7,33.9,2.25,12.9,-2.22,1353.05,17.6,7.1,0
24.4,14.7,33.9,2.25,12.9,-2.22,1353.05,17.6,7.1,0
23.5,13.8,31.9,1.5,-4.8,-2.35,581.12,18.1,5.2,0
23.5,13.8,31.9,1.5,-4.8,-2.35,581.12,18.1,5.2,1
22.1,16.1,30.8,-1.39,-6.6,-1.71,198.47,21.2,1.4,1
21.9,14.7,36.2,0.35,11.9,-1.3,185.37,19.6,7.4,0
21.9,14.7,36.2,0.35,11.9,-1.3,185.37,19.6,7.4,1
23.0,15.0,35.8,0.09,-5.7,-2.57,774.45,19.5,7.3,1
23.0,15.0,35.8,0.09,-5.7,-2.57,774.45,19.5,7.3,0
22.3,15.7,36.1,0.08,-7.1,-1.33,260.48,20.0,7.5,0
22.3,15.7,36.1,0.08,-7.1,-1.33,260.48,20.0,7.5,0
21.7,14.7,29.2,0.53,10.1,-1.42,172.39,19.8,1.4,1
21.7,14.7,29.2,0.53,10.1,-1.42,172.39,19.8,1.4,0
21.6,14.9,29.0,0.05,-7.6,-1.33,247.57,20.0,2.8,0
21.6,14.9,29.0,0.05,-7.6,-1.33,247.57,20.0,2.8,1
22.6,16.2,35.7,-1.01,-6.1,-1.94,405.22,21.1,5.8,0
22.6,16.2,35.7,-1.01,-6.1,-1.94,405.22,21.1,5.8,0
20.2,13.8,33.1,1.3,-9.3,0.65,0.0,18.3,5.6,1
20.2,13.8,33.1,1.3,-9.3,0.65,0.0,18.3,5.6,0
21.2,15.8,33.8,1.18,11.1,1.06,5.2,18.9,6.9,0
21.2,15.8,33.8,1.18,11.1,1.06,5.2,18.9,6.9,1
21.4,14.3,35.1,2.11,-6.1,-0.45,52.83,18.2,8.7,1
21.4,14.3,35.1,2.11,-6.1,-0.45,52.83,18.2,8.7,0
21.3,15.7,35.0,0.26,-6.4,-0.31,50.14,20.0,7.4,1
21.3,15.7,35.0,0.26,-6.4,-0.31,50.14,20.0,7.4,1
22.0,15.4,35.9,-0.47,-4.6,-0.89,119.61,19.9,5.8,0
22.0,15.4,35.9,-0.47,-4.6,-0.89,119.61,19.9,5.8,0
21.4,14.2,32.2,2.22,10.5,0.49,34.08,17.7,5.7,0
21.4,14.2,32.2,2.22,10.5,0.49,34.08,17.7,5.7,0
21.0,14.2,30.5,1.62,-7.4,-0.39,91.71,18.3,4.6,1
21.0,14.2,30.5,1.62,-7.4,-0.39,91.71,18.3,4.6,0
